OBJECTID,Facility Status,Facility Name,CAD Name,AKA,Facility Type,Unit (Firescope three letter identifier),CALFIRE Unit,County,Owner,Funding,Staffing,Address,City,ZIP,Phone (xxx-xxx-xxxx),Latitude,Longitude,GlobalID,x,y
270,Active,Tompkins Hill COM,HUU Tompkins Hill COM,,COM,HUU,HUU,Humboldt,CITY,L,C,2 Miles Southeast Of Loleta,Loleta,95551,,40.6303696040948,-124.193092500969,4bb6430e-cf0b-4fd6-85c8-96bf2e874cae,-354682.020300001,298312.2118
271,Active,Toth Road COM,HUU Toth Road COM,HCFN T8,COM,HUU,HUU,Humboldt,COUNTY,,,Toth Road,Shelter Cove,95589,,40.0338158958418,-124.040543345895,d154978c-40b9-43fb-8b53-dbcc25f58aac,-344608.953600001,231558.752699999
272,Active,Trinidad FS,HUU Trinidad FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,923 Patrick'S Point Drive,Trinidad,95570,707-677-3638,41.0762442624805,-124.145107271076,a1597335-7fd7-4120-a460-8dde4e7f0353,-348462.374700001,347582.020099999
273,Active,Trinidad Head COM,HUU Trinidad Head COM,HCFN T4,COM,HUU,HUU,Humboldt,COUNTY,L,,Lighthouse Road,Trinidad,95570,,41.0543649927366,-124.150687177915,6c2ab32c-d385-4999-a598-3d305a50ac0a,-349037.455499999,345176.0558
274,Active,Weott FS,HUU Weott FS,,FSB,HUU,HUU,Humboldt,STATE,B,P,370 Newton Road,Weott,95571,707-946-2215,40.3216267398859,-123.924207171536,69fa6528-f706-4233-8d48-e5180ec3bf08,-333369.7927,263083.122199999
275,Active,Bakersfield PL,SFM,Pipeline Safety Division - Bakersfield,SFM,CDF,KRN,Kern,,,,"9201 Camino Media, Suite 240",Bakersfield,93311,661-665-0107,35.341834686225,-119.106986866848,a44b6a7b-39c1-4ede-ad0e-31c90c3a2589,81097.8955999985,-296847.3272
276,Active,BFD Station 1 FS,BAK Station  1,STA 1,FSL,BAK,KRN,Kern,CITY,L,P,2101 H St.,Bakersfield,93301,661-631-8421,35.3785159143898,-119.021423185427,50a218fb-71fe-4afc-8b51-43c426910d2b,88825.8289999999,-292696.4073
277,Active,BFD Station 10 FS,BAK Station  10,STA 10,FSL,BAK,KRN,Kern,CITY,L,P,12100 Alfred Harrell Hwy.,Bakersfield,93306,661-871-1410,35.4304954170412,-118.86983103392,151f43e2-7b7c-4ff0-b53b-da7ed38866ca,102516.309599999,-286770.6545
278,Active,BFD Station 11 FS,BAK Station  11,STA 11,FSL,BAK,KRN,Kern,CITY,L,P,7000 Stockdale Hwy.,Bakersfield,93311,661-398-1967,35.3544860150423,-119.079372888844,0b53bdfa-c706-48b7-9176-067037dd42ef,83591.8632999994,-295417.7889
279,Active,BFD Station 13 FS,BAK Station  13,STA 13,FSL,BAK,KRN,Kern,CITY,L,P,4900 Poppyseed St.,Bakersfield,93313,661-397-8159,35.2912864122007,-119.057075875578,d12c17de-67c9-4504-acc7-770771846d50,85686.1182999983,-302416.4264
280,Active,BFD Station 14 FS,BAK Station 14,STA 14,FSL,BAK,KRN,Kern,CITY,L,P,5709 Mountain Vista Dr,Bakersfield,93311,,35.303071274713,-119.119244198356,b784bf94-75f4-4e23-9836-177c350d92cd,80024.7965000011,-301162.028
281,Active,BFD Station 15 FS,BAK Station 15 FS,STA 15,FSL,BAK,KRN,Kern,CITY,L,P,1315 Buena Vista Rd.,Bakersfield,93311,661-665-0587,35.3426328570544,-119.128561166734,c17f556c-1a5f-475e-a2bf-6ac29fbd380c,79137.9156000018,-296776.3682
282,Active,BFD Station 2 FS,BAK Station  2,STA 2,FSL,BAK,KRN,Kern,CITY,L,P,716 E. 21St St.,Bakersfield,93305,661-631-8720,35.3757842045642,-118.992328820614,8c472e0e-7618-4a64-9b64-1080a522cc2f,91469.8293000013,-292972.1196
283,Active,BFD Station 3 FS,BAK Station  3,STA 3,FSL,BAK,KRN,Kern,CITY,L,P,3400 Palm Av.,Bakersfield,93309,661-321-9283,35.3615770947351,-119.041813683173,e2779abc-1aa2-423e-9597-1040e1e37f2d,86994.0753999986,-294596.4895
284,Active,BFD Station 4 FS,BAK Station  4,STA 4,FSL,BAK,KRN,Kern,CITY,L,P,130 Bernard St.,Bakersfield,93304,661-397-6305,35.3905051248647,-118.999427586229,d1fa5a83-90b2-49a3-9d56-1f3805d2d32b,90808.2270999998,-291344.0723
285,Active,BFD Station 5 FS,BAK Station  5,STA 5,FSL,BAK,KRN,Kern,CITY,L,P,700 W. Planz Rd.,Bakersfield,93304,661-397-6305,35.3178253496611,-118.999081894732,818f2918-a5e7-4a03-96fa-417f223b2b10,90924.8154999986,-299415.2189
286,Active,BFD Station 6 FS,BAK Station  6,STA 6,FSL,BAK,KRN,Kern,CITY,L,P,127 Brundage Ln.,Bakersfield,93304,661-631-1845,35.3536910961916,-119.004937820233,dfe1b100-59e5-4102-9043-789c74affc71,90351.0755999982,-295437.7872
287,Active,BFD Station 7 FS,BAK Station  7,STA 7,FSL,BAK,KRN,Kern,CITY,L,P,4030 Soranno Dr.,Bakersfield,93309,661-398-0295,35.3378542529739,-119.04743563251,21a7f947-5da7-4514-bf1b-b40245cab335,86510.1515999995,-297236.1867
288,Active,BFD Station 8 FS,BAK Station  8,STA 8,FSL,BAK,KRN,Kern,CITY,L,P,2213 University Av.,Bakersfield,93305,661-871-7387,35.4047581227813,-118.967928957894,cf0f11b5-debe-409b-bc56-dd83ea90c032,93649.5460000001,-289730.5112
289,Active,BFD Station 9 FS,BAK Station  9,STA 9,FSL,BAK,KRN,Kern,CITY,L,P,7912 Westhold Dr.,Bakersfield,93309,661-398-1268,35.3303315932377,-119.091012774275,98e30511-0819-403e-8676-3e944465a53d,82560.7419000007,-298110.4675
290,Active,Bird Springs,,,COM,KRN,KRN,Kern,,,,,,,,35.5362762249669,-118.140459136489,fda84837-0229-4ee3-bb4f-b01ab7e4803b,168438.805599999,-273981.0636
291,Active,Blue Mountain,,,COM,KRN,KRN,Kern,,,,,,,,35.7599078857464,-118.759609809,11a84a9c-351f-4400-a991-775b6aade7da,112034.9837,-250058.1101
292,Active,Breckenridge,,,COM,KRN,KRN,Kern,,,,,,,,35.4511092221961,-118.586945285876,01a6c66a-fe03-4fec-98cc-deb7c1c6ff1f,128140.4355,-284137.754
293,Active,CAL Station  19 FS,CAL Station  191,STA 19,FSL,CAL,KRN,Kern,CITY,L,P,20890 Hacienda Blvd.,California City,93505,760-373-4841,35.1241537889901,-117.959512345737,2c2f798e-9fb5-4605-97b2-abc683bcb0a4,185811.577599999,-319402.8427
294,Active,Civic Control,,,COM,KRN,KRN,Kern,,,,,,,,35.3721920522579,-119.017805559658,f54bee69-883f-4e3a-a6b8-69d8a56166e7,89161.4681999981,-293395.8727
295,Active,Control 5,,,COM,KRN,KRN,Kern,,,,,,,,35.4115797489813,-118.963375360438,000867fc-0d2a-482d-b17d-816690fae2b9,94054.4375,-288968.949
296,Active,El Paso,,,COM,KRN,KRN,Kern,,,,,,,,35.4772532229699,-117.70054669233,d3c9825e-2dbc-4820-ad68-2b34c4bbbe7c,208438.104899999,-279661.0535
297,Active,El Rancho,,,COM,KRN,KRN,Kern,,,,,,,,35.1640075148139,-118.580317371232,015c7125-a27c-40c5-95ef-1ba8ff933613,129218.860100001,-316010.0162
298,Active,Government Peak,,,COM,KRN,KRN,Kern,,,,,,,,35.3517514287276,-117.673143881414,dd68e15d-6891-4c5a-9d95-871cd2b3e2a8,211263.6406,-293535.2856
299,Active,Grapevine,,,COM,KRN,KRN,Kern,,,,,,,,34.9030239741595,-118.904229535124,088b6f9b-0989-4e3d-9623-86453682eee2,100073.204700001,-345377.1122
300,Active,Keene Helibase,KCFD Helibase,Keene Helibase,HB,KRN,KRN,Kern,COUNTY,,P,30356 Woodfotd-Tehachapi Rd,Keene,93531,661-822-6978,35.2248035490146,-118.566474268183,a95f62cf-823a-4aac-b5f2-0f93e9027b8f,130376.669,-309240.5503
301,Active,Kern County Office of Emergency Services,,,ECC,KRN,KRN,Kern,,,,2601 Panorama Dr,Bakersfield,93306,661-873-2602,35.4113795216166,-118.964275660008,463ee299-4362-4d8c-8ef4-fdbf0c56e048,93972.9992000014,-288992.0789
302,Active,KRN  HQ,KRN Station  HQ,HQ-KCFD,HQ,KRN,KRN,Kern,COUNTY,L,P,5642 Victor St.,Bakersfield,93308,661-391-7000,35.4111026548557,-119.060245400595,5552916f-9cc5-4b7f-868e-70e5fc482244,85265.6125000007,-289052.7843
303,Active,KRN Camp 8,,,,KRN,KRN,Kern,COUNTY,L,P,220569 Eumatilla St,Tehachapi,93561,661-823-0147,35.1174908931231,-118.378389768284,6b9f72ba-355a-49eb-bb7a-48d6ffc469b9,147684.718699999,-320879.8336
304,Active,KRN Station  11 FS,KRN KRN Station  11_FS,STA 11,FSCC,KRN,KRN,Kern,COUNTY,G,P,30356 Woodford-Tehachapi Rd.,Keene,93531,661-822-5555,35.2250136630718,-118.567710192685,8c631ba1-03f2-4c47-87b3-1df7b55d4fc3,130263.912500001,-309218.3674
305,Active,KRN Station  12 FS,KRN KRN Station  12_FS,STA 12,FSCC,KRN,KRN,Kern,COUNTY,G,P,800 S. Curry St.,Tehachapi,93561,661-822-5533,35.1239793394796,-118.449985797066,2ae5ad02-419b-49e0-beaa-148caedaa0cb,141153.119199999,-320267.9563
306,Active,KRN Station  13 FS,,,FSL,KRN,KRN,Kern,COUNTY,L,P,21415 Reeves St,Golden Hills,93561,661-823-4881,35.1317387754843,-118.477662408581,3dd5ade5-3d70-450c-bead-50922d9db04c,138619.142700002,-319447.8312
307,Active,KRN Station  14 FS,KRN KRN Station  14 FS,STA 14,FSCC,KRN,KRN,Kern,COUNTY,G,P,1953 Highway 58,Mojave,93501,661-824-4581,35.0469409276336,-118.166848487681,fabb4ce2-d330-4aa9-bfe4-12af3e69848e,167099.429099999,-328360.537
308,Active,KRN Station  15 FS,KRN KRN Station  15 FS,STA 15,FSCC,KRN,KRN,Kern,COUNTY,G,P,3219 35Th Street West,Rosamond,93560,661-256-2401,34.8665804693897,-118.194125102823,088e544e-626c-4310-8866-b881e2cd806a,164994.773499999,-348429.3966
309,Active,KRN Station  16 FS,KRN KRN Station  16 FS,STA 16,FSCC,KRN,KRN,Kern,COUNTY,G,P,28946 Bear Valley Rd.,Tehachapi,93561,661-821-1110,35.165847995949,-118.644137892507,adf18384-3c0d-47dc-8982-98b75685f6f1,123407.471799999,-315890.1386
310,Active,KRN Station  18 FS,KRN Station  18,STA 18,FSL,KRN,KRN,Kern,COUNTY,L,P,28381 Braeburn Pl. #22,Stallion Springs,93561,661-822-3980,35.0840275833503,-118.634321623978,3cfcca3d-6906-4c46-bc07-17f9a56ac4d2,124431.725099999,-324961.8655
311,Active,KRN Station  21 FS,KRN KRN Station  21 FS,STA 21,FSCC,KRN,KRN,Kern,COUNTY,G,P,303 N. 10Th St.,Taft,93268,661-765-2155,35.1438621537557,-119.465394075198,7a627ebc-6a63-4eb5-bfdb-f0259910b4cb,48674.4706999995,-319076.762
312,Active,KRN Station  22 FS,KRN Station  22,STA 22,FSL,KRN,KRN,Kern,COUNTY,L,P,801 Stanislaus St.,Maricopa,93252,661-769-8239,35.0567389892183,-119.402836591262,d7f9394f-e764-4feb-a94a-75530135f40c,54430.8944999985,-328716.7024
313,Active,KRN Station  23 FS,KRN Station  23,STA 23,FSL,KRN,KRN,Kern,COUNTY,L,P,100 Broadway,Fellows,93224,661-768-4341,35.1796340823422,-119.542339013561,14002d9f-fa1f-48bf-9f44-5a70b7f0ead3,41649.8838,-315141.1694
314,Active,KRN Station  24 FS,KRN KRN Station  24 FS,STA 24,FSCC,KRN,KRN,Kern,COUNTY,G,P,23246 2Nd St.,McKittrick,93251,661-762-7396,35.3072201624186,-119.622324418046,777c4e72-4dfe-4b63-961c-f4dbecb58a2b,34314.5340999998,-301004.6302
315,Active,KRN Station  25 FS,KRN Station  25,STA 25,FSL,KRN,KRN,Kern,COUNTY,L,P,100 Mirasol Av.,Buttonwillow,93206,661-764-5225,35.4006771273085,-119.467783243564,6f24783a-5890-417b-a7c3-2f750dfd584a,48296.8473000005,-290557.9444
316,Active,KRN Station  26 FS,KRN Station  26,STA 26,FSL,KRN,KRN,Kern,COUNTY,L,P,14607 Lost Hills Rd.,Lost Hills,93249,661-797-2308,35.6179689085531,-119.689517650082,da6b59a2-a791-4354-99fd-c6dcd56b234b,28096.7424999997,-266512.0624
317,Active,KRN Station  31 FS,KRN Station  31,STA 31,FSL,KRN,KRN,Kern,COUNTY,L,P,2424 7Th St.,Wasco,93280,661-758-6447,35.5945065574539,-119.353165410744,b1afa913-1679-4f6a-8f47-9e74c11a3860,58550.7459000014,-268964.5613
318,Active,KRN Station  32 FS,KRN Station  32,STA 32,FSL,KRN,KRN,Kern,COUNTY,L,P,325 Sunset Av.,Shafter,93263,661-746-3933,35.5040840581593,-119.277083650005,6b3fdb97-7f07-477d-beb1-f42e3e592e91,65513.9056999981,-278958.3785
319,Active,KRN Station  33 FS,KRN Station  33,STA 33,FSL,KRN,KRN,Kern,COUNTY,L,P,700 W. Perkins Av.,McFarland,93250,661-792-2131,35.6818257523735,-119.234285171117,ee34800b-2420-4d47-823d-f9b898e42fa4,69232.8880999982,-259184.9824
320,Active,KRN Station  34 FS,KRN Station  34,STA 34,FSL,KRN,KRN,Kern,COUNTY,L,P,1001 12Th Av.,Delano,93215,661-725-1000,35.772096993433,-119.244692072007,1ab0c153-bdf8-4cbe-af0c-81486ef89229,68212.0817999989,-249164.6156
321,Active,KRN Station  35 FS,KRN KRN Station  35 FS,STA 35,FSCC,KRN,KRN,Kern,COUNTY,G,P,17977 Highway 155,Woody,93287,661-536-8695,35.7052904236638,-118.832322043502,55edbe91-bcb4-4d33-bd56-8cde5fd79aa4,105542.571199998,-256207.9756
322,Active,KRN Station  37 FS,KRN Station  37,STA 37,FSL,KRN,KRN,Kern,COUNTY,L,P,132 W. 11Th St.,Delano,93215,661-725-2222,35.7684144023545,-119.260003387911,aa6b8e04-4e83-46e5-aaa6-9ff6c36e47d6,66832.557,-249584.6178
323,Active,KRN Station  41 FS,KRN Station  41,STA 41,FSL,KRN,KRN,Kern,COUNTY,L,P,2214 Virginia Av.,Bakersfield,93307,661-326-1626,35.3615773191761,-118.966812081192,cff1da4b-034c-49ab-ad82-dfa3e1e2ea51,93803.1479000002,-294524.9516
324,Active,KRN Station  42 FS,KRN Station  42,STA 42,FSL,KRN,KRN,Kern,COUNTY,L,P,2011 Fairfax Rd.,Bakersfield,93306,661-366-0842,35.3768026123299,-118.931743969094,c21a8752-4203-4c45-b45a-0f263dbe7e28,96967.7584000006,-292798.8106
325,Active,KRN Station  45 FS,KRN KRN Station  45_FS,STA 45,FSCC,KRN,KRN,Kern,COUNTY,G,P,11809 Edison Hwy.,Bakersfield,93307,661-366-3689,35.3472635892585,-118.872518295722,0e46e7d7-c515-4980-b327-b31af40e840f,102382.495900001,-296016.9936
326,Active,KRN Station  46 FS,KRN Station  46,STA 46,FSL,KRN,KRN,Kern,COUNTY,L,P,8225 Mckee Rd.,Lamont,93241,661-845-1212,35.2740767378716,-118.912051365489,f1bd724a-ca3b-4735-af72-ddf7c1c60f86,98886.1114999987,-304186.3818
327,Active,KRN Station  47 FS,KRN Station  47,STA 47,FSL,KRN,KRN,Kern,COUNTY,L,P,312 Taft Hwy.,Bakersfield,93307,661-834-5144,35.2670380398767,-119.006205316651,bba6535e-76ea-4ac3-a4dd-9564888b0fe0,90336.866799999,-305061.9726
328,Active,KRN Station  48 FS,KRN KRN Station  48_FS,STA 48,FSCC,KRN,KRN,Kern,COUNTY,G,P,301 Campus Dr.,Arvin,93203,661-854-5517,35.2109294908996,-118.833230145242,46b48b45-7480-4f7c-b7ce-e7e7956e499a,106136.217999998,-311113.3005
329,Active,KRN Station  53 FS,KRN Station  53,STA 53,FSL,KRN,KRN,Kern,COUNTY,L,P,9443 Taft Hwy.,Bakersfield,93311,661-831-3467,35.2669214070262,-119.107230614623,10edb607-8b77-41ca-80f2-d120d0ae4396,81154.0976999998,-305166.2925
330,Active,KRN Station  55 FS,KRN KRN Station  55_FS,STA 55,FSCC,KRN,KRN,Kern,COUNTY,G,P,5441 Dennis Mc Carthy Dr.,Lebec,93243,661-858-2490,34.9918192233173,-118.947462307166,b4593e6f-331e-414c-8100-9cc7a6edcc23,96015.6537999995,-335563.3656
331,Active,KRN Station  56 FS,KRN KRN Station  56_FS,STA 56,FSCC,KRN,KRN,Kern,COUNTY,G,P,1548 Golden State Hwy.,Lebec,93243,661-248-6426,34.8335230373302,-118.864889011916,fd1cbc44-011b-4076-b88e-a956c52e74ac,103758.209800001,-353049.5973
332,Active,KRN Station  57 FS,KRN Station  57,STA 57,FSL,KRN,KRN,Kern,COUNTY,L,P,729 West End Dr.,Frazier Park,93225,661-245-3706,34.8232088060542,-118.96237928992,2c40017e-3963-4236-b269-3143b1b8707f,94859.8222000003,-354296.6653
333,Active,KRN Station  58 FS,KRN Station  58,STA 58,FSL,KRN,KRN,Kern,COUNTY,L,P,2420 Symonds Dr.,Pine Mountain Club,93222,661-242-3702,34.8504075171463,-119.169647241725,133fbe5d-9e95-4d17-83aa-eea555716b3c,75885.6079000011,-351463.9871
334,Active,KRN Station  61 FS,KRN Station  61,STA 61,FSL,KRN,KRN,Kern,COUNTY,L,P,6400 Fruitvale Av,Bakersfield,93308,661-393-9322,35.418145724759,-119.074225554801,9f0642ef-706d-4e9a-90d7-2bf938ee4e05,83990.1754000001,-288343.2624
335,Active,KRN Station  62 FS,KRN Station  62,STA 62,FSL,KRN,KRN,Kern,COUNTY,L,P,1652 Sunnyside Ct.,Bakersfield,93308,661-393-9311,35.4291949888545,-119.055914077776,fcd5b8f3-8455-416e-a2d9-5d3820663752,85639.1728999987,-287099.7302
336,Active,KRN Station  63 FS,KRN Station  63,STA 63,FSL,KRN,KRN,Kern,COUNTY,L,P,101 Universe Av.,Bakersfield,93308,661-393-9118,35.4310259781254,-119.021593798073,9a9df9d9-f29f-45b3-a5bd-ca996821ac6d,88750.1581000015,-286864.8128
337,Active,KRN Station  64 FS,KRN Station  64,STA 64,FSL,KRN,KRN,Kern,COUNTY,L,P,101 E. Roberts Ln.,Bakersfield,93308,661-393-9263,35.4084548034264,-119.020085892772,c77068c6-bb42-4c0d-9feb-71bed7889c48,88912.8423000015,-289370.1759
338,Active,KRN Station  65 FS,KRN Station  65,STA 65,FSL,KRN,KRN,Kern,COUNTY,L,P,9420 Rosedale Hwy.,Bakersfield,93312,661-587-7309,35.3836555513349,-119.114119352832,34796a96-f9e9-4c7f-90cc-56a6f29baa25,80399.8834999986,-291469.0938
339,Active,KRN Station  66 FS,KRN Station  66,STA 66,FSL,KRN,KRN,Kern,COUNTY,L,P,3000 Landco Dr.,Bakersfield,93308,661-322-7243,35.3872989226801,-119.05885010073,49444cb0-7e4a-4b60-8149-2f5006c47d1e,85419.0463999994,-291755.3749
340,Active,KRN Station  67 FS,KRN Station  67,STA 67,FSL,KRN,KRN,Kern,COUNTY,L,P,14341 Brimhall Rd,Bakersfield,93312,661-589-8977,35.3687596784305,-119.161324459349,08e02084-a1b5-4f56-846a-48d8300d1912,76137.0388999991,-293901.6272
341,Active,KRN Station  71 FS,KRN Station  71,STA 71,FSL,KRN,KRN,Kern,COUNTY,L,P,9000 Navajo Av,Weldon,93283,760-378-3055,35.647038320145,-118.360669389099,5dc26603-f642-4193-8200-c80b43ea8950,148281.4903,-262046.9404
342,Active,KRN Station  72 FS,KRN KRN Station  72_FS,STA 72,FSCC,KRN,KRN,Kern,COUNTY,G,P,4500 Lake Isabella Blvd.,Lake Isabella,93240,760-379-2626,35.6036978778925,-118.486067914079,6d63d0b5-ddb9-4b60-a31d-f89411f44357,137016.850699998,-267049.3235
343,Active,KRN Station  76 FS,KRN KRN Station  76_FS,STA 76,FSCC,KRN,KRN,Kern,COUNTY,G,P,11018 Kernville Rd.,Kernville,93238,760-376-2219,35.7546336192486,-118.425174401724,c20b8a35-814e-4476-aa08-da36f15e1b8c,142248.914999999,-250194.9284
344,Active,KRN Station  78 FS,KRN KRN Station  78 FS,STA 78,FSCC,KRN,KRN,Kern,COUNTY,G,P,16001 Walker Basin Rd.,Caliente,93518,661-867-2311,35.3834732314922,-118.412075476852,bf6af8af-cd31-4ea9-b126-5492010f1fe6,144122.464200001,-291397.2786
345,Active,KRN Station  79 FS,KRN KRN Station  79_FS,STA 79,FSCC,KRN,KRN,Kern,COUNTY,G,P,10511 Highway 155,Glennville,93226,661-536-8691,35.7265989234713,-118.700605189807,c9fc18eb-986f-4c08-8fda-2a1de767659f,117414.746199999,-253686.1538
346,Active,KRN Station  81 FS,KRN Station  81,STA 81,FSL,KRN,KRN,Kern,COUNTY,L,P,815 W. Dolphin Av.,Ridgecrest,93555,760-371-2181,35.6005189005218,-117.686166088006,75d409fb-969f-4c3b-92b3-8621d892bdfc,209407.259500001,-265940.9759
347,Active,KRN Station  83 FS,KRN Station  83,STA 83,FSL,KRN,KRN,Kern,COUNTY,L,P,6919 Monache Moutain Av.,Inyokern,93527,760-377-4621,35.652456694661,-117.824414193157,ea3a480a-809d-46a1-b4cd-3d0e8a6d1539,196765.4443,-260469.3343
348,Active,KRN Station  84 FS,KRN Station  84,STA 84,FSL,KRN,KRN,Kern,COUNTY,L,P,139 E. Las Flores,Ridgecrest,93555,760-375-8466,35.6283184455736,-117.668075457027,80d78fab-b69b-4943-b33a-e068315971be,210968.219099998,-262813.7706
349,Active,KRN Station  85 FS,KRN Station  85,STA 85,FSL,KRN,KRN,Kern,COUNTY,L,P,26804 Butte Av.,Randsburg,93554,760-374-2455,35.3677722049169,-117.652208505283,10678657-aabf-419a-80ad-95316535c76c,213119.9705,-291709.1124
350,Active,KRN Station  87 FS,KRN Station  87,STA 87,FSL,KRN,KRN,Kern,COUNTY,L,P,26965 Cote St.,Boron,93516,760-762-6167,35.0031103740094,-117.65052313554,f901b0f4-2705-4bb4-ae7b-9c182f2fea92,214276.335499998,-332187.5165
351,Active,Mebane,,,COM,KRN,KRN,Kern,,,,,,,,35.5158440461946,-118.71770624345,fae58033-2c99-43b0-90a2-e325fc778847,116186.222899999,-277116.7473
352,Active,Mojave,,,COM,KRN,KRN,Kern,,,,,,,,35.0462591013493,-118.162460546644,fc42ee0f-93db-4e03-8437-8dbb685b7487,167500.8334,-328429.0379
353,Active,Mount Abel,,,COM,KRN,KRN,Kern,,,,,,,,34.8319220077016,-119.206243100105,78a16e7a-da93-4ccb-9169-ddc67f80397f,72558.4431000017,-353545.2786
354,Active,Oak Peak #1,,,COM,KRN,KRN,Kern,,,,,,,,35.0790531126098,-118.362129448052,d14bfa66-56a8-410f-9e50-11c187f6b5c4,149239.1655,-325121.8525
355,Active,Olive Drive Fire Training Facility,,,TC,KRN,KRN,Kern,COUNTY,L,,5642 Victor St,Bakersfield,93309,661-391-7120,35.4119121749087,-119.059474523718,4afc9f39-e5d2-4380-ae73-13ada79d8616,85335.2631999999,-289022.9449
356,Active,Rocky Point,,,COM,KRN,KRN,Kern,,,,,,,,35.6870117373155,-118.420632361709,5758e7d4-1971-4b6e-aeb8-a6e71971ca6b,142784.285599999,-257699.7056
357,Active,Shirley,,,COM,KRN,KRN,Kern,,,,,,,,35.7070494172401,-118.560487849034,daef60df-5fe9-48c6-9450-6edc15cce01a,130107.836399999,-255675.3193
358,Active,Soledad,,,COM,KRN,KRN,Kern,,,,,,,,34.9817445803552,-118.188768204399,ab146606-f8fc-47fb-86b6-1f719a6cc4e0,165239.908100002,-335637.0391
359,Active,Taft,,,COM,KRN,KRN,Kern,,,,,,,,35.1556836443011,-119.466727340758,044728d5-670b-4663-96d3-9152f84aecbe,48545.7038999982,-317765.3038
360,Active,Agoura Hills Site (AGH),,,COM,LAC,LAC,Los Angeles,FIRE DISTRICT,,,29650 Kimberly Drive,Agoura Hills,91301,,34.1591535018668,-118.77093776072,e6e70185-c6a6-4c30-a324-fdcc6b504f29,113315.741900001,-427777.7779
361,Active,Airport Courthouse (APC),,,COM,LAC,LAC,Los Angeles,COUNTY,,,11701 S. La Cienega Blvd,Los Angeles,90045,310-725-3000,33.9280602314038,-118.371231,1d08810e-528f-4a41-90ff-ee811c51d7fc,150604.287099998,-452853.2219
362,Active,Altadena Station (ALT),,,COM,,LAC,Los Angeles,COUNTY,,,780 E Altadena Dr,Altadena,91001,626-798-1131,,,c374bcac-39f1-45ab-99bd-92a9c510499c,172096.855099998,-423443.3666
363,Active,Antelope Valley (AVS),,,COM,,LAC,Los Angeles,COUNTY,,,1010 W Ave J,Lancaster,93534,,,,0c782cd9-3239-4af1-9154-a3d00d955995,169530.227600001,-368157.3687
364,Active,Avalon Station (AVA),,,COM,,LAC,Los Angeles,COUNTY,,,215 Sumner Ave,Avalon,90704,310-510-0174,,,50a4f952-7fae-48be-a40e-4c4ecbdb1a39,155845.022999998,-517596.4303
365,Active,Bald Mountain (BMT),,,COM,LAC,LAC,Los Angeles,FIRE DISTRICT,,,46811 Ridge Route Rd,Gorman,93243,,34.7446860259065,-118.727744364418,c7848c0b-3b11-4ae3-98aa-3257bb24ed7f,116419.498399999,-362772.4434
366,Active,Baldwin Hills Site (BHS),,,COM,LAC,LAC,Los Angeles,FIRE DISTRICT,,,4100 S. La Cienega Ave,Los Angeles,90056,,34.0027506766272,-118.362769364418,fd1f015b-76a1-4cef-865a-54b89c685c45,151243.552299999,-444556.459
367,Active,BKK Landfill (BKK),,,COM,LAC,LAC,Los Angeles,CITY,,,2220 South Azusa Ave,West Covina,91792,,34.0382286738474,-117.890024364418,f3cd5026-fd8c-47ee-8832-50d883495a6e,194817.716499999,-439762.248
368,Active,Black Jack Mountain (BJM),,,COM,LAC,LAC,Los Angeles,FIRE DISTRICT,,,,,,,33.3869813651092,-118.401266682209,8e96dbb3-1435-435a-ad73-a877df357a4b,148860.5233,-512901.8374
369,Active,Blue Rock (BRK),,,COM,,LAC,Los Angeles,COUNTY,,,,Lake Los Angeles,,,,,edd10722-4ae1-4984-b145-8019c1c89f52,199191.344300002,-366013.316
370,Active,Burnt Peak 1 (BUR1),,,COM,LAC,LAC,Los Angeles,COUNTY,,,22554 Pine Canyon Rd.,Lake Hughes,93532,,34.682382445461,-118.574424364418,6df2a6b2-9ced-4338-912e-9a306cb8ef3c,130354.799600001,-369480.4698
371,Decommissioned,Camp 17,,,YCC,,LAC,Los Angeles,COUNTY,L,N,6601 North Stephens Ranch Road,La Verne,91750,909-593-4921,,,c097579c-b257-4c01-9b73-ccdc73429e6d,207924.760699999,-426749.1128
372,Active,Camp 2,,,,,LAC,Los Angeles,COUNTY,G,P,48110 N. Oak Grove Drive,La Canada Flintridge,91011,818-790-6434,,,59364dcd-06ce-48c4-82b8-f0182b6cf1a7,168186.215599999,-422609.862
373,Active,Camp 8,,,,,LAC,Los Angeles,COUNTY,G,P,1900 S. Rambla Pacifico,Malibu,90265,310-456-6481,,,089a2c6a-681e-48b1-a76f-e3133f91f5e8,124804.473999999,-438425.099
374,Active,Camp 9,,,,,LAC,Los Angeles,COUNTY,G,P,21521 Sand Canyon Road,Santa Clarita,91387,818-367-1310,,,832cfee8-76e0-4dde-a4a4-c16e99444698,146109.777199998,-405776.6762
375,Active,Carson Station (CSN),,,COM,,LAC,Los Angeles,COUNTY,,,21356 Avalon Blvd,Carson,90745,310-830-1123,,,f26fc081-0e28-4d2c-add3-b9dc0e53dec4,160785.445700001,-463066.8243
376,Active,Castro Peak (CPK),,,COM,LAC,LAC,Los Angeles,FIRE DISTRICT,,,928 Latigo Canyon Road,Malibu,90265,,34.0857006701238,-118.785361,b565cec1-70a3-4eeb-bcaf-a3d3c83f4555,112090.444499999,-435942.8984
